# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\jasonright.png	0	162	232
10	textures\jasonleft.png	0	162	232
20	textures\misc.png	176	224	248
30	textures\enemies.png	255	255	255
40	textures\right.png 	0	136	255
50	textures\jasonleft2.png	0	136	255
60	textures\items.png	255	255	255
70	textures\map1bank.png	255	255	255
80	textures\map1.png	255	255	255
90	textures\jason3.png	0	162	232
100	textures\map2.png	255	255	255




# id	left	top	right	bottom	texture_id

[SPRITES]

# JASON TANK
# Tank
# right
10001	160	88	178	104	0
# right up
10002	160	128	181	145	0
# canon right
10003	169	111	178	117	0
# cannon right up
10008	188	108	193	118	0
# wheel right
10004	195	75	203	83	0
10005	214	74	222	82	0
10006	234	74	242	82	0
10007	253	73	261	81	0

#left
10011	208	88	226	104	10
#left up
10012	205	128	226	145	10
#canon left
10013	208	111	217	117	10
#cannon left up
10018	193	109	198	119	10
# wheel left
10014	183	75	191	83	10
10015	164	74	172	82	10
10016	144	74	152	82	10
10017	125	73	133	81	10

# Jason Small
#right
10019	129	49	137	65	50
10020	169	49	177	65	50
10021	89	49	97	65	50
#left
10022	249	49	257	65	40
10023	209	49	217	65	40	
10024	289	49	297	65	40

# Jason Big
# Right
10025	121	41	145	73	0
10026	122	82	146	113	0
10027	122	121	146	152	0
# Left
10028	41	41	65	73	0
10029	41	81	65	112	0
10030	41	121	65	152	0
# Up
10031	83	41	103	73	0
10032	82	81	103	113	0
10033	82	121	103	153	0
# Down
10034	3	41	23	72	0
10035	3	81	23	113	0
10036	3	121	23	152	0


# Jason bullet normal
11000	285	82	293	108	60
11001	300	113	326	121	60
11002	302	133	328	141	60

# Impact effect normal
11003	149	97	165	110	90
11004	166	97	182	113	90

# Jason big rainbow bullet
11005	252	106	260	114	90
# Impact effect rainbow bullet
11006	298	103	309	116	90
11007	279	102	295	118	90


#ENEMIES

#Interrupt
20001	75	1487	97	1505	30
20002	100	1490	122	1505	30
#Interrupt bomb
20003	63	1496	72	1505	30

#Ballbot
# Left
20004	62	738	80	756	30
20005	83	738	101	756	30
20006	104	738	122	756	30
# Right
20007	132	738	150	756	30
20008	153	738	171	756	30
20009	174	738	192	756	30

#Eyelet
# right
20010	132	32	150	47	30
20011	152	29	170	47	30
20012	172	32	190	47	30
20013	192	37	210	47	30
# left
20014	104	32	122	47	30
20015	84	29	102	47	30
20016	64	32	82	47	30
20017	44	37	62	47	30

#Stuka
20018	58	387	76	405	30
20019	78	387	96	405	30
20020	98	387	116	405	30
20021	118	387	136	405	30
20022	138	387	156	405	30
20023	158	387	176	405	30
20024	178	387	196	405	30

#GX680 black
20025	84	296	102	313	30
20026	104	297	122	313	30
20027	132	297	150	313	30
20028	152	296	170	313	30
#GX680 Pink
20029	84	1150	102	1167	30
20030	104	1151	122	1167	30
20031	132	1151	150	1167	30
20032	152	1150	170	1167	30	
# GX680 Bullet
20033	214	305	222	313	30

# Drag
20034	44	277	62	293	30
20035	84	277	102	293	30
20036	152	277	170	293	30
20037	192	277	210	293	30

# LaserGuard
20038	132	718	149	736	30
20039	150	718	167	736	30
#LaserGuard Bullet
20040	258	12	268	22	60

# ENVIRONMENT
#MAP
30000	0	0	496	1984	100
# Weak Brick
30001	29	10	45	26	60





# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== JASON  =========

#SMALL
# idle right
300	10019	100
# idle left
301	10022	100
# Move right
302	10019	100	10020	100	10021	100
# Move left
303	10022	100	10023	100	10024	100

#BIG
# Idle right
350	10025	100
# Idle left
351	10028	100
# Idle up
352	10031	100
# Idle down
353	10034	100
# Move right
354	10025	100	10026	100	10027	100
# Move left
355	10028	100	10029	100	10030	100
# Move Up
356	10031	100	10032	100	10033	100
# Move Down
357	10034	100	10035	100	10036	100

# ==== JASON TANK =========

#tank right
400	10001	100
#tank left
401	10011	100

#tank up right
402	10002	100
#tank up left
403	10012	100

#canon right
404	10003	100
#canon left
405	10013	100
#cannon right up
410	10008	100
#cannon left up
411	10018	100

#wheel right idle
406	10004	100
#wheel left idle
407	10014	100

#wheel right moving
408	10004	50	10005	50	10006	50	10007	50
#wheel left moving
409	10014	50	10015	50	10016	50	10017	50

#Bullet normal up
600	11000	100
# Bullet normal right
601	11001	100
#Bullet normal left
602	11002	100
#Impact Bullet normal
603	11003	100	11004	100

#Rainbow bullet fire
604	11005	100
#Impact rainbow bullet
605	11006	100	11007	100



#---------ENEMIES-------

# Interrupt
# Interrupt idle
501	20001	100
# Interrupt action
502	20002	100
# Interrupt bomb
503	20003	100

# Ballbot
# Down
504	20004	100	20005	100	20006	100	20005	100
# Up
505	20007	100	20008	100	20009	100	20008	100

# Eyelet
506	20010	100	20011	100	20012	100	20013	100
507	20014	100	20015	100	20016	100	20017	100


# Stuka
#right
508	20018	150	20019	150	20020	150	20021	150	20022	150	20023	150	20024	150
#left
509	20024	150	20023	150	20022	150	20021	150	20020	150	20019	150	20018	150

# GX680	Black
#Move
510	20025	100	20026	100	20027	100	20028	100
# GX680 Pink
# Move
511	20029	100	20030	100	20031	100	20032	100

#Drag
512	20034	500	20035	500	20036	500	20037	500

# LaserGuard
513	20038	500	20039	500
# LaserGuard Bullet
514	20040	100

# Enviroment
Weak Brick
700	30001	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# JASON 
0	300	301	302	303	350	351	352	353	354	355	356	357
# Tank
1	400	401	402	403	
# Canon
2	404	405	410	411
# Wheel
3	406	408	409
# Bullets
4	600	601	602	603
# Rainbow bullets
5	604	605
# ENEMIES
# Interrupt
11	501	502
# Ballbot
12	504	505
# Eyelet
13	506	507
# Stuka
14	508	509
# GX680 Black
15	510
# GX680 Pink
16	511
# Drag
17	512
# Laser Guard
18	513
# LaserGuard Bullet
19	514


# ENVIROMENT
# Weak Brick
50	700	

[BACKGROUND]
0	-1984	30000
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Jason , 1 = Tank, 2 = Cannon, 3 = Wheel, 4 = Brick, 5=Interrupt, 6=BallBot, 7=Eyelet, 8=BallCarry, 9=Stuka, 10=Bullet, 11=Weak Brick, 12=RainbowBullet, 13=GX680, 14=DRAG, 15=LASERGUARD, 16=ENEMY BULLET
# JASON
0	112	1920	0	3
12	368	640	5
12	368	640	5
12	368	640	5
12	368	640	5
12	368	640	5
12	368	640	5
12	368	640	5
#Enemies
13	48	1728	16
13	192	1664	15
13	48	1552	16
13	176	1424	15
13	48	1312	16
13	192	1168	15
13	48	1056	16
13	48	928	16
13	192	800	16
13	112	640	16
13	48	560	16
13	112	560	16
13	176	560	16
13	48	416	15
13	48	288	15
13	48	32	15
13	208	32	16
13	304	80	15	
13	448	80	16
13	448	32	16
13	448	288	15	
13	416	672	16

14	208	144	17	-1
14	288	337	17	1
14	288	465	17	1

15	192	1888	18	-1
15	464	110	18	-1
15	464	142	18	-1

16	192	1888	19	15
16	464	110	19	15
16	464	142	19	15
# Enviroment
11	176	1888	50
11	176	1856	50
11	176	1824	50

11	288	304	50
11	304	304	50
11	320	304	50
11	336	304	50
11	352	304	50
11	368	304	50
11	384	304	50
11	400	304	50
11	416	304	50
11	432	304	50
11	448	304	50
11	464	304	50
11	288	320	50
11	304	320	50
11	320	320	50
11	336	320	50
11	352	320	50
11	368	320	50
11	384	320	50
11	400	320	50
11	416	320	50
11	432	320	50
11	448	320	50
11	464	320	50

11	288	368	50
11	304	368	50
11	320	368	50
11	336	368	50
11	352	368	50
11	368	368	50
11	384	368	50
11	400	368	50
11	416	368	50
11	432	368	50
11	448	368	50
11	464	368	50
11	288	384	50
11	304	384	50
11	320	384	50
11	336	384	50
11	352	384	50
11	368	384	50
11	384	384	50
11	400	384	50
11	416	384	50
11	432	384	50
11	448	384	50
11	464	384	50


11	288	432	50
11	304	432	50
11	320	432	50
11	336	432	50
11	352	432	50
11	368	432	50
11	384	432	50
11	400	432	50
11	416	432	50
11	432	432	50
11	448	432	50
11	464	432	50
11	288	448	50
11	304	448	50
11	320	448	50
11	336	448	50
11	352	448	50
11	368	448	50
11	384	448	50
11	400	448	50
11	416	448	50
11	432	448	50
11	448	448	50
11	464	448	50

11	288	496	50
11	304	496	50
11	320	496	50
11	336	496	50
11	352	496	50
11	368	496	50
11	384	496	50
11	400	496	50
11	416	496	50
11	432	496	50
11	448	496	50
11	464	496	50
11	288	512	50
11	304	512	50
11	320	512	50
11	336	512	50
11	352	512	50
11	368	512	50
11	384	512	50
11	400	512	50
11	416	512	50
11	432	512	50
11	448	512	50
11	464	512	50

11	288	560	50
11	304	560	50
11	320	560	50
11	336	560	50
11	352	560	50
11	368	560	50
11	384	560	50
11	400	560	50
11	416	560	50
11	432	560	50
11	448	560	50
11	464	560	50
11	288	576	50
11	304	576	50
11	320	576	50
11	336	576	50
11	352	576	50
11	368	576	50
11	384	576	50
11	400	576	50
11	416	576	50
11	432	576	50
11	448	576	50
11	464	576	50




4	96	1728	0	128	48
4	32	1600	0	128	48
4	96	1472	0	128	48
4	32	1216	0	64	48
4	160	1216	0	64	48
4	32	960	0	128	48
4	96	704	0	128	48
4	32	448	0	128	48
4	96	320	0	128	48
4	32	192	0	80	80
4	144	192	0	80	80
4	288	192	0	80	80	
4	400	192	0	80	80
4	288	704	0	80	80
4	400	704	0	80	80
4	288	976	0	192	48

4	32	1968	0	192	16

4	0	0	0	32	192
4	0	192	0	32	192
4	0	384	0	32	192
4	0	576	0	32	192
4	0	768	0	32	192
4	0	960	0	32	192
4	0	1152	0	32	192
4	0	1344	0	32	192
4	0	1536	0	32	192
4	0	1728	0	32	192
4	0	1920	0	32	64

4	32	0	0	432	16

4	224	64	0	64	192
4	224	256	0	64	192
4	224	448	0	64	192
4	224	640	0	64	192
4	224	832	0	64	192
